Number,Steps,Path
91,92,"[91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
92,17,"[92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
93,17,"[93, 280, 140, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
94,105,"[94, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
95,105,"[95, 286, 143, 430, 215, 646, 323, 970, 485, 1456, 728, 364, 182, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
96,12,"[96, 10, 5, 16, 8, 4, 1, 1, 1, 1, 1, 1, 1]"
97,118,"[97, 292, 146, 220, 110, 166, 83, 250, 125, 376, 188, 94, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 70, 35, 106, 53, 160, 80, 40, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
98,25,"[98, 148, 74, 112, 56, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
99,25,"[99, 298, 149, 448, 224, 112, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1]"
100,25,"[100, 76, 38, 58, 29, 88, 44, 22, 34, 17, 52, 26, 13, 40, 20, 16, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
